index	trait	description
0	accessory	accessory-1n
1	accessory	accessory-aardvark
2	accessory	accessory-axe
3	accessory	accessory-belly-chameleon
4	accessory	accessory-bird-flying
5	accessory	accessory-bird-side
6	accessory	accessory-bling-anchor
7	accessory	accessory-bling-anvil
8	accessory	accessory-bling-arrow
9	accessory	accessory-bling-cheese
10	accessory	accessory-bling-gold-ingot
11	accessory	accessory-bling-love
12	accessory	accessory-bling-mask
13	accessory	accessory-bling-rings
14	accessory	accessory-bling-scissors
15	accessory	accessory-bling-sparkles
16	accessory	accessory-body-gradient-checkerdisco
17	accessory	accessory-body-gradient-dawn
18	accessory	accessory-body-gradient-dusk
19	accessory	accessory-body-gradient-glacier
20	accessory	accessory-body-gradient-ice
21	accessory	accessory-body-gradient-pride
22	accessory	accessory-body-gradient-redpink
23	accessory	accessory-body-gradient-sunset
24	accessory	accessory-carrot
25	accessory	accessory-chain-logo
26	accessory	accessory-checker-RGB
27	accessory	accessory-checker-bigwalk-blue-prime
28	accessory	accessory-checker-bigwalk-greylight
29	accessory	accessory-checker-bigwalk-rainbow
30	accessory	accessory-checker-spaced-black
31	accessory	accessory-checker-spaced-white
32	accessory	accessory-checker-vibrant
33	accessory	accessory-checkers-big-green
34	accessory	accessory-checkers-big-red-cold
35	accessory	accessory-checkers-black
36	accessory	accessory-checkers-blue
37	accessory	accessory-checkers-magenta-80
38	accessory	accessory-chicken
39	accessory	accessory-cloud
40	accessory	accessory-clover
41	accessory	accessory-collar-sunset
42	accessory	accessory-cow
43	accessory	accessory-decay-gray-dark
44	accessory	accessory-decay-pride
45	accessory	accessory-dinosaur
46	accessory	accessory-dollar-bling
47	accessory	accessory-dragon
48	accessory	accessory-ducky
49	accessory	accessory-eth
50	accessory	accessory-eye
51	accessory	accessory-flash
52	accessory	accessory-fries
53	accessory	accessory-glasses-logo-sun
54	accessory	accessory-glasses-logo
55	accessory	accessory-glasses
56	accessory	accessory-grid-simple-bege
57	accessory	accessory-heart
58	accessory	accessory-hoodiestrings-uneven
59	accessory	accessory-id
60	accessory	accessory-infinity
61	accessory	accessory-insignia
62	accessory	accessory-leaf
63	accessory	accessory-lightbulb
64	accessory	accessory-lines-45-greens
65	accessory	accessory-lines-45-rose
66	accessory	accessory-lp
67	accessory	accessory-marsface
68	accessory	accessory-matrix-white
69	accessory	accessory-moon-block
70	accessory	accessory-none
